iter	Passed	Remaining
797	40192	10174
798	40256	10127
799	40302	10075
800	40345	10023
801	40388	9971
802	40431	9918
803	40479	9868
804	40535	9819
805	40579	9767
806	40624	9715
807	40668	9663
808	40727	9615
809	40777	9565
810	40828	9514
811	40872	9463
812	40916	9411
813	40971	9362
814	41021	9311
815	41064	9259
816	41113	9208
817	41157	9157
818	41212	9107
819	41265	9058
820	41308	9006
821	41349	8954
822	41392	8902
823	41442	8851
824	41497	8802
825	41541	8750
826	41586	8699
827	41630	8647
828	41683	8598
829	41733	8547
830	41776	8495
831	41818	8444
832	41861	8392
833	41910	8341
834	41967	8293
835	42011	8241
836	42054	8189
837	42096	8138
838	42149	8088
839	42204	8038
840	42254	7988
841	42301	7937
842	42343	7886
843	42399	7836
844	42444	7785
845	42486	7734
846	42530	7682
847	42573	7631
848	42623	7580
849	42679	7531
850	42723	7480
851	42767	7429
852	42810	7377
853	42873	7329
854	42918	7278
855	42961	7227
856	43003	7175
857	43046	7124
858	43094	7073
859	43152	7024
860	43196	6973
861	43243	6922
862	43285	6871
863	43343	6822
864	43396	6772
865	43438	6721
866	43481	6670
867	43524	6618
868	43574	6568
869	43630	6519
870	43673	6468
871	43717	6417
872	43760	6366
873	43812	6316
874	43872	6267
875	43915	6216
876	43958	6165
877	44001	6114
878	44059	6065
879	44106	6014
880	44151	5963
881	44197	5913
882	44246	5862
883	44299	5813
884	44349	5762
885	44392	5711
886	44435	5660
887	44478	5609
888	44533	5560
889	44581	5510
890	44625	5459
891	44669	5408
892	44714	5357
893	44768	5308
894	44816	5257
895	44859	5206
896	44902	5156
897	44945	5105
898	44993	5054
899	45051	5005
900	45098	4955
901	45145	4904
902	45188	4854
903	45252	4805
904	45300	4755
905	45343	4704
906	45385	4653
907	45428	4602
908	45478	4552
909	45534	4503
910	45578	4452
911	45620	4402
912	45663	4351
913	45716	4301
914	45768	4251
915	45812	4201
916	45856	4150
917	45899	4099
918	45956	4050
919	46005	4000
920	46048	3949
921	46091	3899
922	46137	3848
923	46185	3798
924	46247	3749
925	46291	3699
926	46333	3648
927	46374	3598
928	46429	3548
929	46476	3498
930	46533	3448
931	46579	3398
932	46635	3348
933	46687	3299
934	46731	3248
935	46775	3198
936	46835	3149
937	46880	3098
938	46924	3048
939	46968	2997
940	47021	2948
941	47073	2898
942	47119	2848
943	47164	2797
944	47210	2747
945	47265	2698
946	47318	2648
947	47361	2597
948	47403	2547
949	47446	2497
950	47501	2447
951	47552	2397
952	47596	2347
953	47639	2297
954	47682	2246
955	47740	2197
956	47788	2147
957	47832	2097
958	47875	2046
959	47918	1996
960	47969	1946
961	48026	1897
962	48071	1846
963	48117	1796
964	48161	1746
965	48222	1697
966	48272	1647
967	48314	1597
968	48357	1547
969	48407	1497
970	48455	1447
971	48509	1397
972	48554	1347
973	48598	1297
974	48642	1247
975	48703	1197
976	48753	1147
977	48796	1097
978	48839	1047
979	48881	997
980	48928	947
981	48986	897
982	49030	847
983	49073	797
984	49119	748
985	49196	698
986	49254	648
987	49307	598
988	49362	549
989	49419	499
990	49482	449
991	49536	399
992	49594	349
993	49660	299
994	49722	249
995	49775	199
996	49828	149
997	49897	99
998	49961	50
999	50020	0
